Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Швайка,Борислав,Петрович,Чоловік,1957-05-12,Редактор,село Новгород-Сіверський,"парк Хімічна, буд. 6, Радехів, 37569",+380 54 798-74-25,rtsisyk@example.org
Макаренко,Антон,Романович,Чоловік,1967-08-31,Редактор,хутір Полонне,"узвіз Яблунева, буд. 80 кв. 35, Снятин, 75853",047 352 50 35,zdankevych@example.net
Заєць,Юхим,Володимирович,Чоловік,1966-03-05,Електромонтер,село Алчевськ,"площа Лавкова, буд. 329 кв. 577, Новодністровськ, 99302",+380 71 136 35 42,veniiamyn21@example.org
Саєнко,Антон,Вікторович,Чоловік,1983-08-31,Математик,село Конотоп,"площа Миколи Бажана, буд. 39, Обухів, 59381",+380 83 924-50-26,atarasenko@example.com
Засуха,Ростислав,Олексійович,Чоловік,1986-01-10,Астроном,селище Камінь-Каширський,"набережна Покровський, буд. 5 кв. 5, Хоростків, 36393",568-00-45,spasandriievych@example.com
Дрозд,Кирило,Дмитрович,Чоловік,2001-12-11,Локсмайстер,місто Ватутіне,"шосе Авіаторів, буд. 49, Тальне, 99750",058 451 10 81,vvysochan@example.net
Аверченко,Лукʼян,Юрійович,Чоловік,1957-07-27,Дантист,село Рахів,"площа Грецька, буд. 395, Гребінка, 24649",+380 12 437 09 70,konopliataras@example.org
Артимович,Омелян,Вікторович,Чоловік,2008-01-21,Головний меркшейдер,хутір Апостолове,"шосе Ланжеронівська, буд. 684 кв. 401, Боярка, 99924",+380 73 893-20-72,kbevz@example.org
Гупало,Аврелій,Вікторович,Чоловік,1966-12-22,Геофізик,селище Сквира,"провулок Чорноморка, буд. 237 кв. 1, Лубни, 19415",082 969-29-22,ihnatmoskal@example.net
Чалий,Августин,Олексійович,Чоловік,2008-07-01,Флорист,село Родинське,"провулок Салтикова-Щедріна, буд. 58, Алушта, 39215",490-27-62,romanchuksviatoslav@example.org
Атрощенко,Мирослав,Володимирович,Чоловік,1950-09-29,Графік,село Монастирище,"проспект Штабний, буд. 277 кв. 867, Бахмут, 44490",084 922-28-99,liliia33@example.net
Ільєнко,Опанас,Олегович,Чоловік,1982-06-29,Живописець,хутір Бунге ,"парк Проїзний 3-й, буд. 4 кв. 44, Прип'ять , 22650",550 34 64,ustym64@example.net
Мірошниченко,Леопольд,Олексійович,Чоловік,1982-01-20,Клавішник,місто Карлівка,"набережна Василя Кандинського 5-й, буд. 85 кв. 44, Південне , 55303",+380 99 777-94-85,vievtushok@example.com
Дробʼязко,Йосип,Юрійович,Чоловік,1944-04-21,Графік,селище Авдіївка,"шосе Китобійний 1-й, буд. 65, Ананьїв, 94543",481-63-72,romanenkoarkadii@example.net
Непорожній,Данило,Степанович,Чоловік,1992-12-29,Ювелір,село Верхівцеве,"проспект Керченський 3-й, буд. 28, Любомль, 32843",072 091-35-56,leonidtychyna@example.com
Іванченко,Ростислав,Сергійович,Чоловік,1957-09-19,Сантехнік,місто Бунге ,"провулок Шебелінський, буд. 73, Гадяч, 33709",092 699 61 78,idanchenko@example.net
Дубенко,Гліб,Павлович,Чоловік,1939-08-11,Бухгалтер,село Жовті Води,"парк Восьмого березня узвіз, буд. 04 кв. 5, Приморськ (Україна), 05323",034 891-23-09,havryloievdokymenko@example.net
Атаманчук,Нестор,Васильович,Чоловік,1968-02-02,Фрілансер,селище Марганець ,"вулиця Коцюбинського, буд. 90 кв. 287, Бобринець, 03061",+380 17 537-92-12,aleksandrenkoeduard@example.net
Єрьоменко,Алевтин,Павлович,Чоловік,1958-12-12,Патологоанатом,селище Інкерман,"сквер Верхня, буд. 5 кв. 473, Подільськ, 63488",+380 84 601-50-86,zhuzii@example.net
Петренко,Гордій,Степанович,Чоловік,2004-12-22,Кухар,місто Зимогір'я,"шосе Палія Семена, буд. 9 кв. 324, Первомайськ, 99866",+380 99 635-02-15,vprykhodko@example.net
Удовенко,Олег,Михайлович,Чоловік,1994-04-01,Бізнесмен,селище Кремінна,"площа Велика Садова, буд. 94 кв. 912, Золоте, 63686",+380 59 980 84 80,vladyslav86@example.com
Аронець,Марко,Макарович,Чоловік,1967-12-28,Клоун,місто Алушта,"вулиця Навігаційний, буд. 46, Слов'янськ, 57265",914-54-09,dannaprymachenko@example.com
Сагаль,Аврелій,Юрійович,Чоловік,1984-09-20,Гірник,селище Скадовськ,"набережна Бузкова, буд. 150, Волноваха, 98786",040 495-91-75,vdubenko@example.org
